FORECAST_DATE,INFORMATION_DATE,CURRENT_STATE,DYNAMIC_MODEL_ID,FIXED_P_TO_0,DYNAMIC_P_TO_0,FIXED_P_TO_1,DYNAMIC_P_TO_1,FIXED_P_TO_2,DYNAMIC_P_TO_2,FIXED_P_TO_3,DYNAMIC_P_TO_3,FIXED_ROW_SUM,DYNAMIC_ROW_SUM
2021-03-01,2021-02-26,2,group_weighted_multinomial_logistic_gam,0.06274939193076978,0.1415982955881934,9.761755794767467e-34,0.05977881080812282,0.9124496868848444,0.689333855894323,0.02480092118438586,0.10928903770936063,1.0,0.9999999999999999
2021-03-02,2021-03-01,2,group_weighted_multinomial_logistic_gam,0.06274939193076978,0.17934715022442654,9.761755794767467e-34,0.04128690769852733,0.9124496868848444,0.7253921289583831,0.02480092118438586,0.05397381311866292,1.0,0.9999999999999999
2021-03-03,2021-03-02,2,group_weighted_multinomial_logistic_gam,0.06274939193076978,0.11471689189428848,9.761755794767467e-34,0.03228450849720554,0.9124496868848444,0.8111175257031672,0.02480092118438586,0.04188107390533885,1.0,1.0
2021-03-04,2021-03-03,2,group_weighted_multinomial_logistic_gam,0.06274939193076978,0.0976599265000849,9.761755794767467e-34,0.032233563321095296,0.9124496868848444,0.8282096627329292,0.02480092118438586,0.04189684744589058,1.0,1.0
2021-03-05,2021-03-04,2,group_weighted_multinomial_logistic_gam,0.06274939193076978,0.08688127146973584,9.761755794767467e-34,0.026990756169459357,0.9124496868848444,0.846463735623638,0.02480092118438586,0.03966423673716685,1.0,1.0
2021-03-08,2021-03-05,2,group_weighted_multinomial_logistic_gam,0.06274939193076978,0.08268751949968672,9.761755794767467e-34,0.01836129170469616,0.9124496868848444,0.8579942823118901,0.02480092118438586,0.040956906483727115,1.0,1.0000000000000002
2021-03-09,2021-03-08,1,group_weighted_multinomial_logistic_gam,0.08634199045392929,0.2059961386473808,0.9080779360501346,0.6392550749488064,1.3537108067951995e-76,0.08647150853122207,0.005580073495936052,0.06827727787259073,1.0,1.0
2021-03-10,2021-03-09,1,group_weighted_multinomial_logistic_gam,0.08634199045392929,0.23859575575075664,0.9080779360501346,0.6370429578153055,1.3537108067951995e-76,0.07418652607275664,0.005580073495936052,0.05017476036118118,1.0,1.0
2021-03-11,2021-03-10,0,group_weighted_multinomial_logistic_gam,0.9505394000413604,0.7782256893161943,0.025470001780594585,0.07938269325361244,0.023757427860250556,0.10998185113321682,0.00023317031779450392,0.03240976629697639,1.0,0.9999999999999999
2021-03-12,2021-03-11,2,group_weighted_multinomial_logistic_gam,0.06274939193076978,0.2777578429339164,9.761755794767467e-34,0.07530430377424517,0.9124496868848444,0.5829496203257101,0.02480092118438586,0.06398823296612843,1.0,1.0
2021-03-15,2021-03-12,2,group_weighted_multinomial_logistic_gam,0.06274939193076978,0.15934556326335,9.761755794767467e-34,0.06929513260045134,0.9124496868848444,0.695491059275504,0.02480092118438586,0.07586824486069457,1.0,0.9999999999999999
2021-03-16,2021-03-15,0,group_weighted_multinomial_logistic_gam,0.9505394000413604,0.7589323752282772,0.025470001780594585,0.08846949539506262,0.023757427860250556,0.11375994281492059,0.00023317031779450392,0.03883818656173977,1.0,1.0000000000000002
2021-03-17,2021-03-16,0,group_weighted_multinomial_logistic_gam,0.9505394000413604,0.8396089288068495,0.025470001780594585,0.06445178590560748,0.023757427860250556,0.07606022484309707,0.00023317031779450392,0.019879060444445915,1.0,0.9999999999999999
2021-03-18,2021-03-17,0,group_weighted_multinomial_logistic_gam,0.9505394000413604,0.8663123423100847,0.025470001780594585,0.0592258232084071,0.023757427860250556,0.057775903342034834,0.00023317031779450392,0.016685931139473184,1.0,0.9999999999999998
2021-03-19,2021-03-18,2,group_weighted_multinomial_logistic_gam,0.06274939193076978,0.17008023111737897,9.761755794767467e-34,0.0944875705815666,0.9124496868848444,0.6489968205598816,0.02480092118438586,0.08643537774117273,1.0,0.9999999999999999
2021-03-22,2021-03-19,0,group_weighted_multinomial_logistic_gam,0.9505394000413604,0.7664314426357305,0.025470001780594585,0.09280516613664214,0.023757427860250556,0.10401280801078765,0.00023317031779450392,0.03675058321683966,1.0,0.9999999999999999
2021-03-23,2021-03-22,0,group_weighted_multinomial_logistic_gam,0.9505394000413604,0.8358265347071132,0.025470001780594585,0.06083475421864404,0.023757427860250556,0.07904692767257156,0.00023317031779450392,0.024291783401671187,1.0,1.0
2021-03-24,2021-03-23,0,group_weighted_multinomial_logistic_gam,0.9505394000413604,0.8429150979897543,0.025470001780594585,0.05794531106981028,0.023757427860250556,0.07892281763365987,0.00023317031779450392,0.020216773306775578,1.0,1.0
2021-03-25,2021-03-24,0,group_weighted_multinomial_logistic_gam,0.9505394000413604,0.905625951164643,0.025470001780594585,0.042529711688399835,0.023757427860250556,0.041447694759607696,0.00023317031779450392,0.010396642387349624,1.0,1.0000000000000002
2021-03-26,2021-03-25,0,group_weighted_multinomial_logistic_gam,0.9505394000413604,0.8983938915381777,0.025470001780594585,0.04252029600557289,0.023757427860250556,0.04778016488072918,0.00023317031779450392,0.011305647575520168,1.0,1.0
