CLASS,TERM,TRANSFORMED_FEATURE,COEFFICIENT
2,IBOXIG_LAG_0,IBOXIG_LAG_0__basis_4,0.02938291044528857
2,IBOXIG_LAG_0,IBOXIG_LAG_0__basis_5,0.031866011906244766
2,IBOXIG_LAG_0,IBOXIG_LAG_0__basis_6,0.03445205452000968
2,JPEICORE_LAG_0,JPEICORE_LAG_0__basis_0,-0.03556819904656304
2,JPEICORE_LAG_0,JPEICORE_LAG_0__basis_1,-0.028380211981847505
2,JPEICORE_LAG_0,JPEICORE_LAG_0__basis_2,-0.021411245224001844
2,JPEICORE_LAG_0,JPEICORE_LAG_0__basis_3,-0.0014124906987221068
2,JPEICORE_LAG_0,JPEICORE_LAG_0__basis_4,0.036710474901776154
2,JPEICORE_LAG_0,JPEICORE_LAG_0__basis_5,0.031111634162285476
2,JPEICORE_LAG_0,JPEICORE_LAG_0__basis_6,0.028954343601934322
2,LT11TRUU_LAG_0,LT11TRUU_LAG_0__basis_0,0.006381500387016402
2,LT11TRUU_LAG_0,LT11TRUU_LAG_0__basis_1,0.008823783940683607
2,LT11TRUU_LAG_0,LT11TRUU_LAG_0__basis_2,0.015468385739604532
2,LT11TRUU_LAG_0,LT11TRUU_LAG_0__basis_3,-0.0029887182170423784
2,LT11TRUU_LAG_0,LT11TRUU_LAG_0__basis_4,0.006640426944742764
2,LT11TRUU_LAG_0,LT11TRUU_LAG_0__basis_5,0.012501842781158321
2,LT11TRUU_LAG_0,LT11TRUU_LAG_0__basis_6,-0.01646248049109663
2,LBUTTRUU_LAG_0,LBUTTRUU_LAG_0__basis_0,-0.03997138475801735
2,LBUTTRUU_LAG_0,LBUTTRUU_LAG_0__basis_1,-0.030636897678217027
2,LBUTTRUU_LAG_0,LBUTTRUU_LAG_0__basis_2,-0.019380334897896565
2,LBUTTRUU_LAG_0,LBUTTRUU_LAG_0__basis_3,0.014301089441334692
2,LBUTTRUU_LAG_0,LBUTTRUU_LAG_0__basis_4,0.047382388824690425
2,LBUTTRUU_LAG_0,LBUTTRUU_LAG_0__basis_5,0.02982232672994353
2,LBUTTRUU_LAG_0,LBUTTRUU_LAG_0__basis_6,0.01778420607006427
2,DURATION_STATE_0,DURATION_STATE_0__basis_0,0.11883896148167986
2,DURATION_STATE_0,DURATION_STATE_0__basis_1,0.04908358855662491
2,DURATION_STATE_0,DURATION_STATE_0__basis_2,-0.06391739261604823
2,DURATION_STATE_0,DURATION_STATE_0__basis_3,-0.0649078754313754
2,DURATION_STATE_0,DURATION_STATE_0__basis_4,-0.02445869663328568
2,DURATION_STATE_0,DURATION_STATE_0__basis_5,-0.012196776655519558
2,DURATION_STATE_0,DURATION_STATE_0__basis_6,-0.007533410862276349
2,DURATION_STATE_1,DURATION_STATE_1__basis_0,0.23658650834634343
2,DURATION_STATE_1,DURATION_STATE_1__basis_1,0.1539160066917291
2,DURATION_STATE_1,DURATION_STATE_1__basis_2,0.024731299377612186
2,DURATION_STATE_1,DURATION_STATE_1__basis_3,-0.054818872973995604
2,DURATION_STATE_1,DURATION_STATE_1__basis_4,-0.09332525014396517
2,DURATION_STATE_1,DURATION_STATE_1__basis_5,-0.11952200505539719
2,DURATION_STATE_1,DURATION_STATE_1__basis_6,-0.1440653537413474
2,DURATION_STATE_2,DURATION_STATE_2__basis_0,-0.4027626127784955
2,DURATION_STATE_2,DURATION_STATE_2__basis_1,-0.23023025547119502
2,DURATION_STATE_2,DURATION_STATE_2__basis_2,0.040573856194222706
2,DURATION_STATE_2,DURATION_STATE_2__basis_3,0.1435352312252486
2,DURATION_STATE_2,DURATION_STATE_2__basis_4,0.14741963807045738
2,DURATION_STATE_2,DURATION_STATE_2__basis_5,0.1490516635685507
2,DURATION_STATE_2,DURATION_STATE_2__basis_6,0.16362034009466578
2,DURATION_STATE_3,DURATION_STATE_3__basis_0,0.017991319459945743
2,DURATION_STATE_3,DURATION_STATE_3__basis_1,0.003284785540961784
2,DURATION_STATE_3,DURATION_STATE_3__basis_2,-0.021724720412416642
2,DURATION_STATE_3,DURATION_STATE_3__basis_3,-0.011409202782882287
2,DURATION_STATE_3,DURATION_STATE_3__basis_4,2.116457167549648e-05
2,DURATION_STATE_3,DURATION_STATE_3__basis_5,0.0005390626202042406
2,DURATION_STATE_3,DURATION_STATE_3__basis_6,0.0038129378464923517
3,INTERCEPT,INTERCEPT,0.00046394670611636624
3,STATE_LAG_0,STATE_LAG_0__basis_0,-0.11072164869597803
3,STATE_LAG_0,STATE_LAG_0__basis_1,-0.07086904457985081
3,STATE_LAG_0,STATE_LAG_0__basis_2,-0.028540698649044897
3,SPXT_LAG_0,SPXT_LAG_0__basis_0,0.0017838011885697109
3,SPXT_LAG_0,SPXT_LAG_0__basis_1,-0.004745443841584895
3,SPXT_LAG_0,SPXT_LAG_0__basis_2,-0.023230701943398623
3,SPXT_LAG_0,SPXT_LAG_0__basis_3,-0.05563797582103394
3,SPXT_LAG_0,SPXT_LAG_0__basis_4,-0.017204057273221576
3,SPXT_LAG_0,SPXT_LAG_0__basis_5,0.0367388073568615
3,SPXT_LAG_0,SPXT_LAG_0__basis_6,0.05931154355662808
3,DBLCIX_LAG_0,DBLCIX_LAG_0__basis_0,0.02590495026789987
3,DBLCIX_LAG_0,DBLCIX_LAG_0__basis_1,0.019064248851422952
3,DBLCIX_LAG_0,DBLCIX_LAG_0__basis_2,0.010958863858772904
3,DBLCIX_LAG_0,DBLCIX_LAG_0__basis_3,-0.015294801480710512
3,DBLCIX_LAG_0,DBLCIX_LAG_0__basis_4,-0.029887330113437163
3,DBLCIX_LAG_0,DBLCIX_LAG_0__basis_5,-0.018840691598049214
3,DBLCIX_LAG_0,DBLCIX_LAG_0__basis_6,-0.005799717891954845
3,IBOXIG_LAG_0,IBOXIG_LAG_0__basis_0,0.04798669790656111
3,IBOXIG_LAG_0,IBOXIG_LAG_0__basis_1,0.03390013663635838
3,IBOXIG_LAG_0,IBOXIG_LAG_0__basis_2,0.013217716931731235
3,IBOXIG_LAG_0,IBOXIG_LAG_0__basis_3,-0.023345587786490263
3,IBOXIG_LAG_0,IBOXIG_LAG_0__basis_4,-0.05830541372364255
3,IBOXIG_LAG_0,IBOXIG_LAG_0__basis_5,-0.02308235015694105
3,IBOXIG_LAG_0,IBOXIG_LAG_0__basis_6,-0.004193806702457616
3,JPEICORE_LAG_0,JPEICORE_LAG_0__basis_0,0.0645091736153016
3,JPEICORE_LAG_0,JPEICORE_LAG_0__basis_1,0.05299364022097033
3,JPEICORE_LAG_0,JPEICORE_LAG_0__basis_2,0.0423967559539685
3,JPEICORE_LAG_0,JPEICORE_LAG_0__basis_3,0.019357299112751348
3,JPEICORE_LAG_0,JPEICORE_LAG_0__basis_4,-0.05468017373744293
3,JPEICORE_LAG_0,JPEICORE_LAG_0__basis_5,-0.06176206042974377
3,JPEICORE_LAG_0,JPEICORE_LAG_0__basis_6,-0.06459861547922281
3,LT11TRUU_LAG_0,LT11TRUU_LAG_0__basis_0,0.014882105373145686
3,LT11TRUU_LAG_0,LT11TRUU_LAG_0__basis_1,-0.0010497559828633936
3,LT11TRUU_LAG_0,LT11TRUU_LAG_0__basis_2,-0.03766849622213604
3,LT11TRUU_LAG_0,LT11TRUU_LAG_0__basis_3,-0.08337020740579426
3,LT11TRUU_LAG_0,LT11TRUU_LAG_0__basis_4,-0.07759739231654122
3,LT11TRUU_LAG_0,LT11TRUU_LAG_0__basis_5,0.025470888779864736
3,LT11TRUU_LAG_0,LT11TRUU_LAG_0__basis_6,0.1185499105414405
3,LBUTTRUU_LAG_0,LBUTTRUU_LAG_0__basis_0,0.03424723489135779
