N_STATES,MODEL,SPLIT,FEATURE_GROUP,REPLICATE,BLOCK_LENGTH,GROUP_COLUMN_COUNT,BASELINE_LOG_LOSS,PERMUTED_LOG_LOSS,DELTA_LOG_LOSS,BASELINE_BRIER_SCORE,PERMUTED_BRIER_SCORE,DELTA_BRIER_SCORE,BASELINE_ACCURACY,PERMUTED_ACCURACY,DELTA_ACCURACY,BASELINE_ECE,PERMUTED_ECE,DELTA_ECE,BASELINE_EXIT_LOG_LOSS,PERMUTED_EXIT_LOG_LOSS,DELTA_EXIT_LOG_LOSS,BASELINE_EXIT_BRIER_SCORE,PERMUTED_EXIT_BRIER_SCORE,DELTA_EXIT_BRIER_SCORE
4,MLG,validation,market,117,20,6,0.5670534554876949,0.5689961120686168,0.0019426565809218532,0.3109336035575302,0.3115889672788224,0.0006553637212922125,0.81005291005291,0.8074074074074075,-0.002645502645502562,0.04891760686561229,0.05097276018786179,0.002055153322249495,0.48011776329980027,0.48116046090236236,0.0010426976025620927,0.15241486525869744,0.1527811816710164,0.00036631641231896217
4,MLG,validation,market,118,20,6,0.5670534554876949,0.5697054020400112,0.0026519465523162644,0.3109336035575302,0.31181140764811327,0.0008778040905830786,0.81005291005291,0.8095238095238095,-0.0005291005291004902,0.04891760686561229,0.049509796112340215,0.0005921892467279227,0.48011776329980027,0.48163426059779807,0.0015164972979977986,0.15241486525869744,0.15292699520085395,0.0005121299421565195
4,MLG,validation,market,119,20,6,0.5670534554876949,0.5696101845688587,0.0025567290811637777,0.3109336035575302,0.31171155302435455,0.000777949466824357,0.81005291005291,0.81005291005291,0.0,0.04891760686561229,0.049561304389003955,0.000643697523391662,0.48011776329980027,0.4816336007039109,0.0015158374041106537,0.15241486525869744,0.15286632632612804,0.000451461067430603
4,MLG,validation,market,120,20,6,0.5670534554876949,0.5689549408657146,0.0019014853780197072,0.3109336035575302,0.31170378517019115,0.0007701816126609584,0.81005291005291,0.8063492063492064,-0.0037037037037036535,0.04891760686561229,0.051660123697660834,0.0027425168320485416,0.48011776329980027,0.481367005081192,0.0012492417813917411,0.15241486525869744,0.15285965106803212,0.0004447858093346857
4,MLG,validation,market,121,20,6,0.5670534554876949,0.5679601026521439,0.0009066471644489926,0.3109336035575302,0.311484876196453,0.0005512726389227951,0.81005291005291,0.808994708994709,-0.0010582010582009804,0.04891760686561229,0.0496246135783661,0.0007070067127538104,0.48011776329980027,0.4812004782881091,0.0010827149883088083,0.15241486525869744,0.1528415985906461,0.00042673333194867547
4,MLG,validation,market,122,20,6,0.5670534554876949,0.5687452139506358,0.0016917584629408955,0.3109336035575302,0.3117598804853083,0.0008262769277780913,0.81005291005291,0.8084656084656084,-0.0015873015873015817,0.04891760686561229,0.05013739729479036,0.0012197904291780665,0.48011776329980027,0.4815276896743895,0.0014099263745892543,0.15241486525869744,0.1528771706961489,0.00046230543745146013
4,MLG,validation,market,123,20,6,0.5670534554876949,0.5690740199683872,0.0020205644806923218,0.3109336035575302,0.31178224000251675,0.0008486364449865613,0.81005291005291,0.8095238095238095,-0.0005291005291004902,0.04891760686561229,0.049637184981981594,0.0007195781163693016,0.48011776329980027,0.4813445103185675,0.001226747018767238,0.15241486525869744,0.15285882835267042,0.0004439630939729877
4,MLG,validation,market,124,20,6,0.5670534554876949,0.5689174234694853,0.0018639679817903376,0.3109336035575302,0.31171806534232327,0.0007844617847930779,0.81005291005291,0.8074074074074075,-0.002645502645502562,0.04891760686561229,0.051689284588638085,0.002771677723025792,0.48011776329980027,0.4816420800885392,0.001524316788738933,0.15241486525869744,0.1529442461133223,0.0005293808546248668
4,MLG,validation,market,125,20,6,0.5670534554876949,0.5685933801412726,0.0015399246535776623,0.3109336035575302,0.3114267618011509,0.0004931582436207282,0.81005291005291,0.807936507936508,-0.002116402116402072,0.04891760686561229,0.05134150709888656,0.0024239002332742676,0.48011776329980027,0.4809263242793956,0.0008085609795953075,0.15241486525869744,0.1525934214025957,0.00017855614389827856
4,MLG,validation,market,126,20,6,0.5670534554876949,0.5695096982128363,0.0024562427251413332,0.3109336035575302,0.3119924373539074,0.0010588337963772232,0.81005291005291,0.807936507936508,-0.002116402116402072,0.04891760686561229,0.0536574404903616,0.004739833624749307,0.48011776329980027,0.4818482734156152,0.0017305101158149316,0.15241486525869744,0.15301239998409438,0.0005975347253969476
