ITERATION,REMOVED_TERM,REMOVAL_REASON,P_VALUE_AT_REMOVAL,TERM_MAX_VIF_AT_REMOVAL,N_STATES,STATE_LAG,EXOG_LAG
18,SPXT_LAG_0,p_value,0.10326140511608922,1.0913938423903067,4,0,2
19,LT11TRUU_LAG_0,p_value,0.14564246916645662,1.0048707796072325,4,0,2
20,DURATION_STATE_0,p_value,0.05076887647767265,1.4595257994399422,4,0,2
1,STATE_LAG_1,vif,0.9788461679278315,17.445708929281377,4,1,0
2,IBOXIG_LAG_0,p_value,0.905271063248325,2.5014255548443876,4,1,0
3,JPEICORE_LAG_0,p_value,0.8092810027309038,1.3925585968946161,4,1,0
4,DURATION_STATE_1,p_value,0.796324423498982,2.4652421559541864,4,1,0
5,DURATION_STATE_3,p_value,0.3254210446498857,2.4029845176194464,4,1,0
6,LBUTTRUU_LAG_0,p_value,0.3382077934812117,2.4023197169062396,4,1,0
7,SPXT_LAG_0,p_value,0.3606080594782178,1.0985850403963844,4,1,0
8,DURATION_STATE_0,p_value,0.055193835188065955,1.4611314620551399,4,1,0
1,STATE_LAG_1,vif,0.9763373776739804,17.675489800814315,4,1,1
2,LT11TRUU_LAG_1,p_value,0.9916294120403467,3.6511529059716037,4,1,1
3,LBUTTRUU_LAG_1,p_value,0.9872440882747986,1.733896883893823,4,1,1
4,IBOXIG_LAG_0,p_value,0.9663731384911644,2.573796948754838,4,1,1
5,DURATION_STATE_1,p_value,0.7722898856198709,2.4955951277652573,4,1,1
6,IBOXIG_LAG_1,p_value,0.7294325771420604,1.1838514676784297,4,1,1
7,JPEICORE_LAG_0,p_value,0.6712247102212971,1.4707379219803263,4,1,1
8,JPEICORE_LAG_1,p_value,0.45016458297297524,1.2215406604135741,4,1,1
9,LBUTTRUU_LAG_0,p_value,0.32765806096784267,2.430652506783387,4,1,1
10,DURATION_STATE_3,p_value,0.342479709233152,2.4229083421139817,4,1,1
11,DBLCIX_LAG_0,p_value,0.27860538636833476,1.057452393655721,4,1,1
12,SPXT_LAG_1,p_value,0.07987412564257407,1.0383382166717892,4,1,1
13,SPXT_LAG_0,p_value,0.10240408364217467,1.0920450980368286,4,1,1
14,LT11TRUU_LAG_0,p_value,0.14489361861145283,1.0048305078239181,4,1,1
15,DURATION_STATE_0,p_value,0.05040545482521637,1.459787714887619,4,1,1
1,STATE_LAG_1,vif,0.9696296171413893,17.688655038011245,4,1,2
2,IBOXIG_LAG_0,p_value,0.9310597833325456,2.622481433589544,4,1,2
3,LBUTTRUU_LAG_2,p_value,0.8547289183791235,2.591629324056273,4,1,2
4,LT11TRUU_LAG_1,p_value,0.8091602291771749,3.7797427457336275,4,1,2
5,JPEICORE_LAG_1,p_value,0.7215479022990559,1.4926720335786536,4,1,2
6,JPEICORE_LAG_2,p_value,0.6477087744290988,1.3657392436415405,4,1,2
7,JPEICORE_LAG_0,p_value,0.6498538845249786,1.471934154116783,4,1,2
8,SPXT_LAG_2,p_value,0.5908871810198737,1.1774754468469826,4,1,2
9,LBUTTRUU_LAG_1,p_value,0.6579933240248945,1.7258011228113563,4,1,2
