ITERATION,REMOVED_TERM,REMOVAL_REASON,P_VALUE_AT_REMOVAL,TERM_MAX_VIF_AT_REMOVAL,N_STATES,STATE_LAG,EXOG_LAG
4,SPXT_LAG_0,p_value,0.7493188524551138,1.2648383674171166,2,1,1
5,DBLCIX_LAG_1,p_value,0.6407720693479682,1.1088398538884119,2,1,1
6,IBOXIG_LAG_0,p_value,0.5374886884147123,1.741141469025714,2,1,1
7,SPXT_LAG_1,p_value,0.5435717943099534,1.1564669984939198,2,1,1
8,DBLCIX_LAG_0,p_value,0.28298885044139344,1.0460264805683028,2,1,1
9,LBUTTRUU_LAG_1,p_value,0.2614318129052603,2.287770687048485,2,1,1
10,LT11TRUU_LAG_1,p_value,0.17564150126719658,2.159559720190756,2,1,1
11,IBOXIG_LAG_1,p_value,0.10556873561570457,1.0188858775633534,2,1,1
12,LBUTTRUU_LAG_0,p_value,0.054328572405695594,1.0552031381273868,2,1,1
13,JPEICORE_LAG_0,p_value,0.10075573550784929,1.0079841470171582,2,1,1
14,DURATION_STATE_1,p_value,0.06071504322444396,2.030586724350123,2,1,1
1,STATE_LAG_1,vif,0.8837599237171704,10.279381671648071,2,1,2
2,SPXT_LAG_0,p_value,0.9995319548824824,1.3210122674416498,2,1,2
3,JPEICORE_LAG_2,p_value,0.9811778849506182,1.3993953819987317,2,1,2
4,LT11TRUU_LAG_0,p_value,0.9702237825789004,3.6127513761252286,2,1,2
5,LBUTTRUU_LAG_2,p_value,0.8701302415390809,2.485876066413218,2,1,2
6,IBOXIG_LAG_2,p_value,0.7938961099555697,2.327621189468693,2,1,2
7,DBLCIX_LAG_2,p_value,0.7052933245229642,1.053544283749632,2,1,2
8,DBLCIX_LAG_1,p_value,0.6134545631030912,1.1320214308663505,2,1,2
9,JPEICORE_LAG_1,p_value,0.5738526226795118,1.4174221650620147,2,1,2
10,IBOXIG_LAG_0,p_value,0.5570924769501626,1.7476312102489928,2,1,2
11,LT11TRUU_LAG_2,p_value,0.5015968349658156,1.0973312113986784,2,1,2
12,LBUTTRUU_LAG_1,p_value,0.38871615623489064,2.316969808277564,2,1,2
13,LT11TRUU_LAG_1,p_value,0.543598405536306,2.3704577597911904,2,1,2
14,DBLCIX_LAG_0,p_value,0.3138434684559747,1.0524331618081124,2,1,2
15,SPXT_LAG_1,p_value,0.3028121211956797,1.077549011891116,2,1,2
16,SPXT_LAG_2,p_value,0.16353666423678412,1.013406612090131,2,1,2
17,IBOXIG_LAG_1,p_value,0.09851962587802776,1.018935664285034,2,1,2
18,DURATION_STATE_1,p_value,0.06203077730301065,2.0493149303664304,2,1,2
19,JPEICORE_LAG_0,p_value,0.05588723233474099,1.0548926060600596,2,1,2
20,LBUTTRUU_LAG_0,p_value,0.08681898221534814,1.001615050617817,2,1,2
1,STATE_LAG_2,vif,0.8568601315762667,10.187672223620854,2,2,0
2,STATE_LAG_1,vif,0.9592296493136651,10.172879201308001,2,2,0
3,IBOXIG_LAG_0,p_value,0.9746995346388583,2.4246817250977304,2,2,0
4,SPXT_LAG_0,p_value,0.5849884639591609,1.2439774297712123,2,2,0
5,LT11TRUU_LAG_0,p_value,0.4247076373867431,2.354728634011203,2,2,0
6,DBLCIX_LAG_0,p_value,0.40863105293078694,1.0439562295607876,2,2,0
7,DURATION_STATE_1,p_value,0.06203077730301065,2.0493149303664304,2,2,0
8,JPEICORE_LAG_0,p_value,0.05588723233474099,1.0548926060600596,2,2,0
9,LBUTTRUU_LAG_0,p_value,0.08681898221534814,1.001615050617817,2,2,0
1,STATE_LAG_2,vif,0.8646322626935457,10.22625447247303,2,2,1
2,STATE_LAG_1,vif,0.9023234558426968,10.25048964104354,2,2,1
3,LT11TRUU_LAG_0,p_value,0.9802749756747308,3.7078330781522264,2,2,1
4,SPXT_LAG_0,p_value,0.9542957285945912,1.2682340080439147,2,2,1
5,JPEICORE_LAG_1,p_value,0.7881217382319055,1.3649560147349458,2,2,1
6,DBLCIX_LAG_1,p_value,0.6885422983908187,1.1088942583039905,2,2,1
7,IBOXIG_LAG_0,p_value,0.5487025635049934,1.7410559490675006,2,2,1
8,SPXT_LAG_1,p_value,0.463878155067463,1.1566636416727396,2,2,1
9,DBLCIX_LAG_0,p_value,0.30109465930203777,1.045947799525879,2,2,1
10,LBUTTRUU_LAG_1,p_value,0.280919357759145,2.2879498126991193,2,2,1
11,LT11TRUU_LAG_1,p_value,0.25787221202764454,2.162692171973728,2,2,1
12,IBOXIG_LAG_1,p_value,0.09851962587802776,1.018935664285034,2,2,1
13,DURATION_STATE_1,p_value,0.06203077730301065,2.0493149303664304,2,2,1
14,JPEICORE_LAG_0,p_value,0.05588723233474099,1.0548926060600596,2,2,1
15,LBUTTRUU_LAG_0,p_value,0.08681898221534814,1.001615050617817,2,2,1
1,STATE_LAG_2,vif,0.9016709376106938,10.302711720694257,2,2,2
2,STATE_LAG_1,vif,0.8837599237171704,10.279381671648071,2,2,2
3,SPXT_LAG_0,p_value,0.9995319548824824,1.3210122674416498,2,2,2
4,JPEICORE_LAG_2,p_value,0.9811778849506182,1.3993953819987317,2,2,2
5,LT11TRUU_LAG_0,p_value,0.9702237825789004,3.6127513761252286,2,2,2
6,LBUTTRUU_LAG_2,p_value,0.8701302415390809,2.485876066413218,2,2,2
7,IBOXIG_LAG_2,p_value,0.7938961099555697,2.327621189468693,2,2,2
8,DBLCIX_LAG_2,p_value,0.7052933245229642,1.053544283749632,2,2,2
9,DBLCIX_LAG_1,p_value,0.6134545631030912,1.1320214308663505,2,2,2
10,JPEICORE_LAG_1,p_value,0.5738526226795118,1.4174221650620147,2,2,2
11,IBOXIG_LAG_0,p_value,0.5570924769501626,1.7476312102489928,2,2,2
12,LT11TRUU_LAG_2,p_value,0.5015968349658156,1.0973312113986784,2,2,2
13,LBUTTRUU_LAG_1,p_value,0.38871615623489064,2.316969808277564,2,2,2
14,LT11TRUU_LAG_1,p_value,0.543598405536306,2.3704577597911904,2,2,2
15,DBLCIX_LAG_0,p_value,0.3138434684559747,1.0524331618081124,2,2,2
16,SPXT_LAG_1,p_value,0.3028121211956797,1.077549011891116,2,2,2
17,SPXT_LAG_2,p_value,0.16353666423678412,1.013406612090131,2,2,2
18,IBOXIG_LAG_1,p_value,0.09851962587802776,1.018935664285034,2,2,2
19,DURATION_STATE_1,p_value,0.06203077730301065,2.0493149303664304,2,2,2
20,JPEICORE_LAG_0,p_value,0.05588723233474099,1.0548926060600596,2,2,2
21,LBUTTRUU_LAG_0,p_value,0.08681898221534814,1.001615050617817,2,2,2
