N_STATES,SEED,LL,AIC,BIC,MIN_COUNT,CONVERGED,VALID
2,22136,15243.56,-30461.13,-30386.4,312,True,True
2,22314,15242.5,-30458.99,-30384.26,304,True,True
2,22488,15243.77,-30461.54,-30386.81,319,True,True
2,22582,15242.5,-30458.99,-30384.26,304,True,True
2,22949,15243.93,-30461.87,-30387.14,319,True,True
2,23044,15245.12,-30464.23,-30389.5,337,True,True
2,23193,15242.5,-30458.99,-30384.26,304,True,True
2,23234,15243.18,-30460.35,-30385.62,311,True,True
2,23253,15243.46,-30460.92,-30386.19,312,True,True
2,23314,15243.67,-30461.35,-30386.62,315,True,True
2,23451,15243.07,-30460.14,-30385.41,311,True,True
2,23477,15242.5,-30458.99,-30384.26,304,True,True
2,23491,15242.5,-30458.99,-30384.26,304,True,True
2,23505,15243.99,-30461.99,-30387.26,319,True,True
2,23583,15242.5,-30458.99,-30384.26,304,True,True
2,23630,15242.52,-30459.03,-30384.3,304,True,True
2,23746,15242.5,-30458.99,-30384.26,304,True,True
2,23795,15242.5,-30458.99,-30384.26,304,True,True
2,23880,15243.96,-30461.91,-30387.18,319,True,True
2,24126,15247.08,-30468.15,-30393.42,366,True,True
2,24258,15244.64,-30463.28,-30388.55,334,True,True
2,24290,15244.16,-30462.32,-30387.59,319,True,True
2,24461,15242.5,-30458.99,-30384.26,304,True,True
2,24604,15244.53,-30463.05,-30388.32,334,True,True
2,24622,15243.76,-30461.52,-30386.79,319,True,True
2,24665,15243.67,-30461.34,-30386.61,315,True,True
2,24713,15240.83,-30455.66,-30380.93,332,True,True
2,24795,15240.73,-30455.45,-30380.72,332,True,True
2,24861,15244.83,-30463.66,-30388.93,334,True,True
2,24914,15242.5,-30458.99,-30384.26,304,True,True
2,24917,15243.7,-30461.4,-30386.67,315,True,True
2,25009,15244.63,-30463.25,-30388.52,334,True,True
2,25060,15242.5,-30458.99,-30384.26,304,True,True
2,25393,15242.5,-30458.99,-30384.26,304,True,True
2,25415,15242.5,-30459.01,-30384.28,304,True,True
2,25471,15242.5,-30458.99,-30384.26,304,True,True
2,25647,15242.21,-30458.42,-30383.69,319,True,True
2,25891,15244.15,-30462.3,-30387.57,319,True,True
2,26009,15243.63,-30461.26,-30386.53,312,True,True
2,26114,15242.5,-30458.99,-30384.26,304,True,True
2,26130,15241.73,-30457.46,-30382.73,334,True,True
2,26145,15242.75,-30459.5,-30384.77,305,True,True
2,26176,15243.81,-30461.62,-30386.89,319,True,True
