N_STATES,SEED,TRAIN_LOG_LIKELIHOOD,AIC,BIC,CONVERGED,ALL_STATES_USED,MIN_REGIME_COUNT,VALID_FOR_SELECTION,ERROR
3,1627981018,-14338.262712224196,28854.52542444839,29366.138366575466,True,True,220,True,
3,432652525,-14338.239301985765,28854.47860397153,29366.091546098603,True,True,224,True,
3,1803345564,-14338.262710616924,28854.525421233848,29366.138363360922,True,True,220,True,
3,1190961752,-14338.262710156656,28854.52542031331,29366.138362440386,True,True,220,True,
3,1766867091,-14338.239303967166,28854.478607934332,29366.091550061406,True,True,224,True,
3,354826744,-14338.2627092908,28854.5254185816,29366.138360708675,True,True,220,True,
3,1497586409,-14338.262731389808,28854.525462779617,29366.13840490669,True,True,220,True,
3,1906728905,-14338.239299634412,28854.478599268823,29366.091541395897,True,True,224,True,
3,1917963000,-14338.262708654154,28854.52541730831,29366.138359435383,True,True,220,True,
3,942484251,-14338.262709469886,28854.52541893977,29366.138361066845,True,True,220,True,
3,197860367,-14338.262712628515,28854.52542525703,29366.138367384105,True,True,220,True,
3,1843824954,-14338.239302600341,28854.478605200682,29366.091547327756,True,True,224,True,
3,1990212633,-14338.262709627636,28854.52541925527,29366.138361382345,True,True,220,True,
3,1356488961,-14338.239303752507,28854.478607505014,29366.09154963209,True,True,224,True,
3,1405681601,-14338.239301830803,28854.478603661606,29366.09154578868,True,True,224,True,
3,1580016156,-14338.262711938178,28854.525423876355,29366.13836600343,True,True,220,True,
3,967354515,-14338.239309549612,28854.478619099224,29366.091561226298,True,True,224,True,
3,2095133008,-14338.23930330464,28854.47860660928,29366.091548736353,True,True,224,True,
3,1540770694,-14338.26271184414,28854.52542368828,29366.138365815354,True,True,220,True,
3,137046512,-14338.239300167623,28854.478600335246,29366.09154246232,True,True,224,True,
3,1634535035,-14338.262710809415,28854.52542161883,29366.138363745904,True,True,220,True,
3,952224731,-14338.239302258768,28854.478604517535,29366.09154664461,True,True,224,True,
3,1843166506,-14338.26270895408,28854.52541790816,29366.138360035235,True,True,220,True,
3,1171300101,-14338.239301192625,28854.47860238525,29366.091544512325,True,True,224,True,
3,487991434,-14338.239303903107,28854.478607806213,29366.091549933288,True,True,224,True,
3,184566850,-14338.262711919817,28854.525423839634,29366.138365966708,True,True,220,True,
3,1678403310,-14338.23931022,28854.47862044,29366.091562567075,True,True,224,True,
3,1662057920,-14338.23930300146,28854.47860600292,29366.091548129993,True,True,224,True,
3,392022354,-14338.262709292836,28854.525418585672,29366.138360712746,True,True,220,True,
3,796282682,-14338.262709134953,28854.525418269906,29366.13836039698,True,True,220,True,
3,275121926,-14338.262712679096,28854.52542535819,29366.138367485266,True,True,220,True,
3,202244310,-14338.239301268668,28854.478602537336,29366.09154466441,True,True,224,True,
3,1777324397,-14338.2393005207,28854.4786010414,29366.091543168473,True,True,224,True,
4,864178257,-14159.871805667732,28565.743611335463,29272.804194275126,True,True,227,True,
4,1102145656,-13991.550746203793,28229.101492407586,28936.16207534725,True,True,258,True,
4,967196422,-14154.23126255617,28554.46252511234,29261.523108052002,True,True,234,True,
4,191664959,-13991.711020402963,28229.422040805926,28936.48262374559,True,True,258,True,
4,1671565830,-13991.711019358874,28229.42203871775,28936.48262165741,True,True,258,True,
4,2084558129,-14222.665734822447,28691.331469644894,29398.392052584557,True,True,82,True,
4,1382689800,-14154.231270107715,28554.46254021543,29261.523123155093,True,True,229,True,
4,1504361609,-13993.018247144764,28232.03649428953,28939.09707722919,True,True,279,True,
4,594336914,-13991.711019250914,28229.422038501827,28936.48262144149,True,True,258,True,
4,957106588,-14002.425360031912,28250.850720063823,28957.911303003486,True,True,278,True,
4,761338716,-13991.711020598274,28229.422041196547,28936.48262413621,True,True,258,True,
4,1455819990,-14154.231262111882,28554.462524223763,29261.523107163426,True,True,234,True,
4,929893118,-13998.960913232726,28243.921826465452,28950.982409405115,True,True,280,True,
4,145857092,-13991.711018870035,28229.42203774007,28936.482620679733,True,True,258,True,
4,1688060213,-13996.000674086197,28238.001348172395,28945.061931112057,True,True,253,True,
4,1130604976,-13991.711019961938,28229.422039923877,28936.48262286354,True,True,258,True,
