N_STATES,SPLIT,FEATURE,N_OBSERVATIONS,PIT_KS_STATISTIC,PIT_KS_P_VALUE,PIT_UNIFORM_AT_5_PERCENT,LJUNG_BOX_LAG,LJUNG_BOX_STATISTIC,LJUNG_BOX_P_VALUE,PIT_INDEPENDENT_AT_5_PERCENT,LJUNG_BOX_LAG_20,LJUNG_BOX_LAG_20_STATISTIC,LJUNG_BOX_LAG_20_P_VALUE,PIT_INDEPENDENT_THROUGH_LAG_20_AT_5_PERCENT,SQUARED_PIT_LJUNG_BOX_LAG_10_STATISTIC,SQUARED_PIT_LJUNG_BOX_LAG_10_P_VALUE,SQUARED_PIT_LJUNG_BOX_LAG_20_STATISTIC,SQUARED_PIT_LJUNG_BOX_LAG_20_P_VALUE,ARCH_LM_LAG,ARCH_LM_STATISTIC,ARCH_LM_P_VALUE,NO_VOLATILITY_CLUSTERING_AT_5_PERCENT,PASS_BOTH_AT_5_PERCENT,PASS_ALL_RESIDUAL_TESTS_AT_5_PERCENT,KS_NULL_HYPOTHESIS,LJUNG_BOX_NULL_HYPOTHESIS,VOLATILITY_NULL_HYPOTHESIS
4,validation,SPXT,1890,0.11156618241477545,6.035254774588767e-21,False,10,11.019201391310869,0.3560239933391888,True,20,20.47406917754687,0.4286472640282051,True,53.84443520971071,5.186949262514016e-08,71.28250551715774,1.1230753330954606e-07,10,37.48952066903001,4.655355500015929e-05,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
4,validation,DBLCIX,1890,0.10184937823096663,1.6026548710695746e-17,False,10,19.039493353305758,0.03976391472713946,False,20,26.939225001394114,0.1369825300387187,True,145.51955712711526,3.107308075567059e-26,203.39397207582843,2.3953448281660325e-32,10,92.00360046808042,2.1435361890827997e-15,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
4,validation,IBOXIG,1890,0.07282839815970496,3.659842704813221e-09,False,10,31.16799191762654,0.0005503893349951057,False,20,47.38727945607669,0.0005181721195713388,False,235.48606949062025,6.070967727782846e-45,301.92968035919574,3.2615660375471212e-52,10,161.67046329432418,1.4643682898911418e-29,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
4,validation,JPEICORE,1890,0.10984787972659782,2.5652533184363228e-20,False,10,352.281938186657,1.3064643754715333e-69,False,20,362.8983628889859,9.741321496923158e-65,False,343.54146726263303,9.34707364803285e-68,449.59342557213307,9.909155970520194e-83,10,174.6687290293367,2.99098230483319e-32,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
4,validation,LT11TRUU,1890,0.050957288683120994,0.00010509084412352738,False,10,16.010622772592782,0.09932871498200743,True,20,27.935416876874296,0.11093702430698364,True,14.908435897938688,0.1354359501884118,33.40294137127456,0.030458908559852328,10,16.352672001348267,0.08997204764694702,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
4,validation,LBUTTRUU,1890,0.06780914008192818,5.323140642269237e-08,False,10,12.398532932877858,0.25926903447114436,True,20,21.323397147570535,0.3783222882973537,True,48.56601010759337,4.891118915567855e-07,58.14393412313954,1.3743815199349775e-05,10,44.45017261304166,2.731979181093418e-06,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
4,prediction,SPXT,1731,0.10552287455031012,3.082941006211831e-17,False,10,36.291123192261885,7.500852728158834e-05,False,20,43.44229970196707,0.0017861840092367558,False,291.6458391890312,9.057259978349702e-57,383.2304636356733,6.101639746713762e-69,10,141.83162272312413,1.7752264495568484e-25,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
4,prediction,DBLCIX,1731,0.07722373451323017,2.0024933689628595e-09,False,10,8.457172152758494,0.5842731638788631,True,20,16.62050437302486,0.6774604691771822,True,61.48252476672989,1.8976469230811906e-09,75.67139480259677,2.1046608173126828e-08,10,44.94292103395723,2.2269000544458593e-06,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
4,prediction,IBOXIG,1731,0.03848185950955858,0.011559330705415611,False,10,15.652004960060133,0.11003694142494747,True,20,19.930731917757143,0.46227021454240547,True,390.18931171288256,1.1512974057901676e-77,521.9262189171039,7.409547917720335e-98,10,183.04526404373854,5.461542829766264e-34,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
4,prediction,JPEICORE,1731,0.11157489759423933,3.1735309065200896e-19,False,10,150.26780043229783,3.2833721093229e-27,False,20,153.80684548914567,1.1701722267718104e-22,False,383.8497413998689,2.5674372357596667e-76,401.6395541964308,9.340761131756527e-73,10,190.2128686308504,1.7655701736632414e-35,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
4,prediction,LT11TRUU,1731,0.06455669649493131,1.026251640513477e-06,False,10,7.817243261429214,0.6466829550742803,True,20,18.181725374240973,0.5754383937462699,True,113.71173051568077,9.501360849383116e-20,132.63235689641343,1.2481337621352536e-18,10,70.72868865829899,3.2062134160442014e-11,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
4,prediction,LBUTTRUU,1731,0.060964487108170706,4.9129234432680525e-06,False,10,8.261520856383395,0.6033085836817171,True,20,10.483204111672544,0.9585406074209499,True,227.67532355714872,2.637895830246943e-43,250.19017686730058,1.0457657398486446e-41,10,127.96919954990543,1.2119966193705685e-22,False,False,False,"one-step PIT is Uniform(0,1)",PIT normal scores have no autocorrelation through lag 20,squared PIT normal scores have no autocorrelation and no ARCH effects
