DATE,HARD_STATE,POSTERIOR_STATE_0,POSTERIOR_STATE_1,POSTERIOR_STATE_2,POSTERIOR_STATE_3,MAX_POSTERIOR,POSTERIOR_ENTROPY,NORMALIZED_POSTERIOR_ENTROPY
2019-02-26,0,0.9966800566062333,5.2573694131749576e-08,0.0033198876802886714,3.1397838616808913e-09,0.9966800566062333,0.02226470460462651,0.01606058945997617
2019-02-27,0,0.9699517717101669,6.667219799092172e-07,0.03004753300322893,2.8564624249348034e-08,0.9699517717101669,0.13491801044378962,0.09732277229693033
2019-02-28,0,0.988356542500171,8.307713428011479e-07,0.011642590817069165,3.591141706560074e-08,0.988356542500171,0.06343310479846921,0.045757312860470724
2019-03-01,0,0.8908888827373966,5.2356009682770395e-06,0.10910558658697848,2.950746566375609e-07,0.8908888827373966,0.34471424813298535,0.24865876815261279
2019-03-04,0,0.9734671078256457,3.0854619761983917e-06,0.02652957535255145,2.3135982659226882e-07,0.9734671078256457,0.1225093899108432,0.08837184464335295
2019-03-05,0,0.9943146363297567,2.662656891092958e-07,0.00568507975167621,1.765287799693673e-08,0.9943146363297567,0.03506486871625422,0.02529395610318126
2019-03-06,0,0.9941050080144364,9.340752516653775e-08,0.0058948934041930835,5.173845570288312e-09,0.9941050080144364,0.036141623424322894,0.026070670441973517
2019-03-07,0,0.9847590122432179,2.628192435606631e-07,0.015240704402707044,2.0534831422499495e-08,0.9847590122432179,0.07889243321944633,0.05690886108467948
2019-03-08,0,0.9922891924078495,2.8511044294205427e-07,0.007710504631852438,1.7849855206075097e-08,0.9922891924078495,0.045198546279078884,0.03260385928610871
2019-03-11,0,0.9839393720427477,3.9392353805258883e-07,0.016060212052173953,2.198154024988269e-08,0.9839393720427477,0.08228848341764061,0.05935859347445191
2019-03-12,0,0.9909055907176797,5.560632901492163e-07,0.00909381368464278,3.9534387241752325e-08,0.9909055907176797,0.051803999366146464,0.03736868649187725
2019-03-13,0,0.9931467907172709,1.5574431456670707e-07,0.006853044033837151,9.504577320366231e-09,0.9931467907172709,0.04098143472355449,0.029561856322093415
2019-03-14,0,0.9790676147035201,7.830255009088233e-07,0.02093156968565971,3.258531924167612e-08,0.9790676147035201,0.1016551753751613,0.07332870869722155
2019-03-15,0,0.9955556538803844,2.1629919212022744e-07,0.004444117278384784,1.2542038731629749e-08,0.9955556538803844,0.028508115532766345,0.02056425845210582
2019-03-18,0,0.997133240002983,3.141888259818654e-08,0.002866726864106603,1.7140276974648765e-09,0.997133240002983,0.019646718571823568,0.01417211172665548
2019-03-19,0,0.9958349212967846,3.36194003713198e-08,0.004165043435314073,1.6485008643411757e-09,0.9958349212967846,0.026985726645739557,0.01946608700329681
2019-03-20,0,0.9837864156380972,1.9881215683933705e-07,0.016213364710630698,2.0839115311883208e-08,0.9837864156380972,0.08291504689105174,0.059810563482398105
2019-03-21,0,0.9880673190753843,4.855856833156946e-07,0.01193215535522632,3.998370616307628e-08,0.9880673190753843,0.06471071157205156,0.04667891133869743
2019-03-22,2,0.20384274687897042,0.0001583478664938833,0.7959821254219736,1.6779832562098313e-05,0.7959821254219736,0.5073890189693774,0.3660038107343185
2019-03-25,0,0.7240464163264316,4.4470284241812426e-05,0.2759061516727627,2.961716563820443e-06,0.7240464163264316,0.5895605860419627,0.42527806689316533
