N_STATES,EVENT_ID,TRANSITION_DATE,FROM_STATE,TO_STATE,RELATIVE_DAY,DESTINATION_POSTERIOR,SOURCE_POSTERIOR,MAX_POSTERIOR,NORMALIZED_POSTERIOR_ENTROPY,ROLLING_MEAN_Z_W5_SPXT,ROLLING_STD_RATIO_W5_SPXT,ROLLING_MEAN_Z_W5_LT11TRUU,ROLLING_STD_RATIO_W5_LT11TRUU,ROLLING_MEAN_Z_W20_SPXT,ROLLING_STD_RATIO_W20_SPXT,ROLLING_MEAN_Z_W20_LT11TRUU,ROLLING_STD_RATIO_W20_LT11TRUU
2,112,2015-09-28,0,1,-9,0.7296466054289423,0.2703533945710576,0.7296466054289423,0.841971278234702,0.07748858356255946,0.638711851708301,-0.4298715813289123,1.3939230927894692,-0.19763000484161106,1.3800662614975996,-0.33708664733709254,1.354724973802188
2,112,2015-09-28,0,1,-8,0.4381356821834211,0.5618643178165789,0.5618643178165789,0.9889287032854174,0.3930657879085199,0.38758100538808954,-0.6952364925455148,1.2889872538421823,-0.15874090417342518,1.3914365348025126,-0.29771932534342077,1.332109070116797
2,112,2015-09-28,0,1,-7,0.22213017315932856,0.7778698268406715,0.7778698268406715,0.7640381058159593,0.2849436246158058,0.44663704867181286,-0.23502321994609227,1.4778033154166685,-0.1384418399681479,1.3883180335839227,-0.2875129826043207,1.343123596500456
2,112,2015-09-28,0,1,-6,0.8272029148705167,0.17279708512948333,0.8272029148705167,0.6640635010081284,-0.009148659540376603,0.7152883322036293,0.06878116392426384,1.8259222883170623,-0.12089814702097526,1.3734049630379348,-0.23422792051187602,1.431361685110078
2,112,2015-09-28,0,1,-5,0.9443603945778788,0.055639605422121236,0.9443603945778788,0.30988688278144144,0.1108320635973449,0.7112989553235307,-0.4341131783113954,2.088636169223656,0.007383568008251379,1.2866992304782958,-0.3628013290433967,1.50818035499493
2,112,2015-09-28,0,1,-4,0.9805629822177139,0.01943701778228608,0.9805629822177139,0.13826778717437585,-0.23976277040857846,0.6673774895206228,0.6111753780592976,1.9271672157235948,0.10437961191697329,1.136136063903962,-0.27399289222265555,1.6118957443530404
2,112,2015-09-28,0,1,-3,0.7039818451679882,0.2960181548320117,0.7039818451679882,0.8763689209195311,-0.38918062445567114,0.5282070670865656,0.7010442141256594,1.8738783395011194,0.14483822785876307,1.1123695555508615,-0.11857812778635868,1.449010438457434
2,112,2015-09-28,0,1,-2,0.3677798587059266,0.6322201412940734,0.6322201412940734,0.9489521432898919,-0.40271333392585607,0.522980572251072,0.6366249599541964,1.8592763508115266,-0.0007430332972978238,0.94894558044509,0.022521246834057578,1.4063068444450115
2,112,2015-09-28,0,1,-1,0.20483960520870792,0.7951603947912921,0.7951603947912921,0.7315023405865423,-0.18186509587118965,0.38500755294712474,-0.1395872878402212,1.6931478134796745,-0.08643856723607156,0.8661586596470476,-0.07967473046264598,1.4251705454157293
2,112,2015-09-28,0,1,0,0.9150077004841815,0.0849922995158185,0.9150077004841815,0.41953009660379387,-0.6043088512909811,0.6573183524624178,0.775802360941925,1.4021269117917297,-0.17865630908959934,0.9407155437088583,0.03491466301725055,1.5027431594275444
