N_STATES,SPLIT,MODEL,STATE,BIN,BIN_LEFT,BIN_RIGHT,COUNT,MEAN_PREDICTED_PROBABILITY,OBSERVED_FREQUENCY
2,prediction,soft_posterior_jeffreys_smoothed_transition,0,9,0.8,0.9,71,0.8523081384869049,0.8732394366197183
2,prediction,soft_posterior_jeffreys_smoothed_transition,0,10,0.9,1.0,1163,0.977319529042297,0.9888220120378332
2,prediction,soft_posterior_jeffreys_smoothed_transition,1,1,0.0,0.1,1163,0.022680470957703078,0.01117798796216681
2,prediction,soft_posterior_jeffreys_smoothed_transition,1,2,0.1,0.2,71,0.14769186151309513,0.1267605633802817
2,prediction,soft_posterior_jeffreys_smoothed_transition,1,3,0.2,0.30000000000000004,52,0.24884363959131772,0.19230769230769232
2,prediction,soft_posterior_jeffreys_smoothed_transition,1,4,0.30000000000000004,0.4,37,0.3538783223508255,0.43243243243243246
2,prediction,soft_posterior_jeffreys_smoothed_transition,1,5,0.4,0.5,35,0.4612885125233585,0.37142857142857144
2,prediction,soft_posterior_jeffreys_smoothed_transition,1,6,0.5,0.6000000000000001,39,0.5503276263172011,0.6666666666666666
2,prediction,soft_posterior_jeffreys_smoothed_transition,1,7,0.6000000000000001,0.7000000000000001,61,0.6535065753676723,0.819672131147541
2,prediction,soft_posterior_jeffreys_smoothed_transition,1,8,0.7000000000000001,0.8,53,0.7593382359410865,0.9622641509433962
2,prediction,soft_posterior_jeffreys_smoothed_transition,1,9,0.8,0.9,76,0.8533011225698224,0.9868421052631579
2,prediction,soft_posterior_jeffreys_smoothed_transition,1,10,0.9,1.0,143,0.9398049589264404,1.0
