N_STATES,FROM_STATE,TO_STATE,RELATIVE_DAY,EVENT_COUNT,MEDIAN_DESTINATION_POSTERIOR,BOOTSTRAP_CI_LOWER,BOOTSTRAP_CI_UPPER
4,2,0,10,256,0.7502705950825044,0.5905548112611172,0.8343386891446705
4,2,1,-10,51,0.006867877614956843,0.000854343659764538,0.11423456672815478
4,2,1,-9,51,0.007342577100738251,0.001788002454486226,0.1437103871518861
4,2,1,-8,51,0.004278942990331944,0.0021500018286006958,0.05123418330549303
4,2,1,-7,51,0.020572852276487343,0.002203031369263786,0.1665310402826581
4,2,1,-6,51,0.029558541329786393,0.003694314888766518,0.14514504720502577
4,2,1,-5,51,0.03925351980329064,0.005397716259568784,0.1437103871518861
4,2,1,-4,51,0.02609850608113516,0.006965257400235764,0.14890215112415184
4,2,1,-3,51,0.04456272071529266,0.006788354817491708,0.35075752204180266
4,2,1,-2,51,0.09626996998630732,0.018233300579746516,0.2550766403065252
4,2,1,-1,51,0.09255703396178967,0.0582273051014981,0.16915145198246584
4,2,1,0,51,0.833985884597359,0.7331951364046424,0.8844536525393618
4,2,1,1,51,0.8117412345956297,0.649727258715722,0.8995257990946366
4,2,1,2,51,0.6640863752024335,0.5002364564004502,0.8064858243850908
4,2,1,3,51,0.4326299018934132,0.11490266141191101,0.7536018377227784
4,2,1,4,51,0.3325610920041322,0.050841653281357965,0.5643731565826716
4,2,1,5,51,0.3764028411194078,0.021902635209241447,0.685553787014013
4,2,1,6,51,0.12941400512710843,0.007379166230326703,0.6069471612028682
4,2,1,7,51,0.06359056389460964,0.0026592723003153254,0.364719879025546
4,2,1,8,51,0.03966480373723859,0.002673305978875492,0.12610967429742542
4,2,1,9,51,0.020814303497173038,0.0031746608856270727,0.11610497571868066
4,2,1,10,51,0.012943576144339247,0.0024210801074503793,0.07887238368987196
4,2,3,-10,8,9.770517573799121e-06,1.6283731201252756e-06,0.0017504971515088803
4,2,3,-9,8,4.853990519905374e-05,3.5256523349309295e-06,0.00024259681983149545
4,2,3,-8,8,2.0944411060873194e-05,3.4290962358612774e-07,0.00014035069064110016
4,2,3,-7,8,6.486562016827883e-05,1.9671244458728896e-05,0.0003057226548552005
4,2,3,-6,8,4.104891416810492e-05,6.00403432272434e-06,5.70461284142489e-05
4,2,3,-5,8,0.00013987829388176242,3.171968220922538e-05,0.0032411634374802656
4,2,3,-4,8,0.00014963063676907813,2.0582241874679384e-05,0.0022061163892387473
4,2,3,-3,8,4.633276824290883e-05,2.9812421833587024e-05,0.00032004124281109016
