N_STATES,EVENT_ID,TRANSITION_DATE,FROM_STATE,TO_STATE,RELATIVE_DAY,DESTINATION_POSTERIOR,SOURCE_POSTERIOR,MAX_POSTERIOR,NORMALIZED_POSTERIOR_ENTROPY,ROLLING_MEAN_Z_W5_SPXT,ROLLING_STD_RATIO_W5_SPXT,ROLLING_MEAN_Z_W5_DBLCIX,ROLLING_STD_RATIO_W5_DBLCIX,ROLLING_MEAN_Z_W5_IBOXIG,ROLLING_STD_RATIO_W5_IBOXIG,ROLLING_MEAN_Z_W5_JPEICORE,ROLLING_STD_RATIO_W5_JPEICORE,ROLLING_MEAN_Z_W5_LT11TRUU,ROLLING_STD_RATIO_W5_LT11TRUU,ROLLING_MEAN_Z_W5_LBUTTRUU,ROLLING_STD_RATIO_W5_LBUTTRUU,ROLLING_MEAN_Z_W20_SPXT,ROLLING_STD_RATIO_W20_SPXT,ROLLING_MEAN_Z_W20_DBLCIX,ROLLING_STD_RATIO_W20_DBLCIX,ROLLING_MEAN_Z_W20_IBOXIG,ROLLING_STD_RATIO_W20_IBOXIG,ROLLING_MEAN_Z_W20_JPEICORE,ROLLING_STD_RATIO_W20_JPEICORE,ROLLING_MEAN_Z_W20_LT11TRUU,ROLLING_STD_RATIO_W20_LT11TRUU,ROLLING_MEAN_Z_W20_LBUTTRUU,ROLLING_STD_RATIO_W20_LBUTTRUU
4,296,2012-07-17,0,2,4,0.9849354200559836,0.014111575162964273,0.9849354200559836,0.05911897999393314,-0.019751607166500974,0.5308242088689732,-0.07060387811811664,0.9319691293860906,0.4329429300165799,0.19080644849847359,-0.20776581872353156,0.6010628260875939,0.12286152545092473,1.0128841091897374,-0.013677984686337907,0.5694152607047005,0.0540156106928833,0.6575327321555046,0.3512410256342397,1.1982684460471216,0.3898157807249306,0.3144873499865839,0.22974543312818815,0.536599947762241,0.2635632503542333,1.110031306991323,0.17022872659264404,0.6385263819309143
4,296,2012-07-17,0,2,5,0.9588999200673481,0.040448152086984095,0.9588999200673481,0.1261876623452113,-0.24938913075334926,0.4933494278025284,-0.1351861189554368,0.9339606503294208,0.32824431601295306,0.28806344892538355,-0.43026085705838035,0.5158445889904033,0.5642527114405782,0.8262075391174104,0.13149120378300563,0.4302149913799108,0.0780117553204276,0.6226275362247913,0.29074200071992873,1.1987288993913061,0.3826279225096557,0.3238982726440149,0.2160030925251534,0.5553964955505603,0.22890145001300377,1.0732459048333474,0.11553288873850306,0.6081086177471926
4,296,2012-07-17,0,2,6,0.5356344676046022,0.4642133467472425,0.5356344676046022,0.49917892838485384,-0.34858249604511665,0.37066039649752625,-0.12769397964716303,0.9398153882737931,0.2419900174296543,0.18245074588023327,-0.3442543716516321,0.5763289840263242,0.5014240561375465,0.8539839755548593,-0.015222337755160742,0.469178992208081,0.060363428021681355,0.6199386223034531,0.2914162932576734,1.1989097878088228,0.3960542991759239,0.31693965398116264,0.2322695365042558,0.5502470949083377,0.25083845940678384,1.063907627677152,0.11308766304620028,0.6101877077625433
4,296,2012-07-17,0,2,7,0.40743792239054755,0.5924550092105781,0.5924550092105781,0.4883260939473988,-0.15856651358746943,0.7015651075304693,-0.34466633401477226,0.7702260866201787,0.20347394699308693,0.16297344759825622,-0.2507690614269057,0.6891470253569795,0.5621319129493365,0.7593790460279805,0.02184213589658655,0.45038012319997023,0.08568494110249117,0.6529158003708767,0.27017607831871715,1.2020716275441998,0.40893819597688835,0.30375660394693266,0.2443291415232455,0.5576683278376873,0.21770098298113422,1.0786455319842927,0.09918848542679508,0.6125605466576715
4,296,2012-07-17,0,2,8,0.10260445292616896,2.043543650199454e-16,0.8703973380516536,0.3260133211617322,0.24671720817425252,0.8449567113504562,-0.14987071199965346,0.8961343285365214,0.07327877932018315,0.2968975997639469,-0.11016715484891723,0.7518315325226781,-0.4919049371977279,1.7076306351085582,-0.4275646071308493,0.48261520727442,0.15899874343838957,0.704275623754324,0.3634532127067259,1.1649238103730335,0.3716427052372544,0.3537800648275555,0.276955514791675,0.5521028332245778,0.0012469869687906198,1.3710487263950522,0.02737606772653468,0.6902793106203778
4,296,2012-07-17,0,2,9,0.07498406917360392,4.152395761283909e-09,0.9193058405761294,0.217188685364644,0.3650237816867965,0.7524167033192938,0.29171597883000444,0.41894381631869637,-0.09977229771171817,0.3489355990449994,0.2776099119632477,0.49913718297035536,-0.33947254563973944,1.8414611466548918,-0.20054470601389718,0.7501427324151269,0.07141979117129114,0.6056638024989082,0.21492155092019788,0.9294000744589457,0.34682425139960715,0.3970191763145126,0.26676561597717985,0.5432538761133866,0.20080087000405283,1.2849180705183032,0.12415552670609706,0.6812891751498998
4,296,2012-07-17,0,2,10,0.42964361387982863,0.057929083908029755,0.511938905944958,0.630795367399556,0.4314317168188377,0.6725082174819582,0.20585606235718665,0.5526568828903766,0.1058275712384091,0.5378473795428652,0.5333857207380991,0.17462295239228764,-0.5441296000445517,1.72813693200097,-0.03632849636240572,0.8471032719423753,0.04756315901251164,0.6101369354626175,0.19405594294665535,0.9453877804782813,0.33380473463231675,0.3728595913673209,0.2733095876929107,0.5466408009704202,0.10032804148148308,1.2134130804339776,0.08593278825273268,0.6201517745445341
4,297,2012-07-27,2,1,-10,1.4524064697581646e-05,0.13689398308241602,0.8630907786803389,0.28815650982636143,0.03228654368276658,0.5936513089225208,0.37922416595064234,0.8391524602657506,0.5734452151302551,0.16806022724974776,0.4204554659866295,0.2427814766445068,0.3537634611848516,0.5386692485039019,0.18708791426062657,0.3922271700994984,0.08547567239934398,0.735434863806086,0.22668420963418776,1.2154022768184807,0.3469598713659331,0.356678861304538,0.2562952612320105,0.4010860176609162,0.13028432017027036,1.1128891977262205,0.059292697815539294,0.7657234635472971
4,297,2012-07-27,2,1,-9,1.4437796833224401e-05,0.07571914167289864,0.924265158782768,0.1935952265313538,0.0226601833379959,0.5961909262170038,0.2974100047042924,0.7555753811042921,0.5262494668488276,0.08114381837757563,0.6175224999403527,0.2338134703371583,0.3198306853249863,0.497591710445537,0.1932653265359178,0.39929018877081424,0.04149436662124317,0.7219887663768588,0.2729481698627784,1.2243477337498445,0.3434337522414586,0.3531879311419482,0.270785484316843,0.4219444641727569,0.1581860753206674,1.1242621301659876,0.019654302382420663,0.7112414599710676
4,297,2012-07-27,2,1,-8,0.0005760091683356847,0.9420639248223474,0.9420639248223474,0.16208051477783947,0.23932304732971854,0.5391071932210875,0.5341616068457445,0.32843214441434926,0.522994587657005,0.08492885698272601,0.6493075054167596,0.19500955044650642,-0.017641374593829796,0.745340082870334,-0.10067654089668918,0.4638072781357641,0.06214221199843244,0.729522211727085,0.27463390120714004,1.2239885218442759,0.33041423547416826,0.3452395309091487,0.2890151198106647,0.421465579501294,0.08409067803291474,1.1586022857869074,-0.004154474095264227,0.7295164116750533
4,297,2012-07-27,2,1,-7,0.00014853858010920262,0.7643512810613448,0.7643512810613448,0.3948500598230744,0.3327964014021294,0.53275634320292,0.5271189958959671,0.3269507788547709,0.578870013783293,0.13485399158211941,0.47280723971247623,0.39668380565629835,0.027955792967864112,0.7574377143482268,0.01463515490874685,0.4785473696638528,0.051748533075455405,0.7219270523795012,0.2761323290687948,1.2243454442843154,0.36472608695463143,0.35485738430017993,0.27003760183504527,0.43511252087049634,0.15984294914194988,1.1213240304427439,0.014506458819677987,0.7324191442170253
