DATE,SPXT,DBLCIX,IBOXIG,JPEICORE,LT11TRUU,LBUTTRUU
2007-11-19,-0.01759,0.00393,0.00156,-0.00141,0.00682,0.00664
2007-11-21,-0.01146,0.02435,0.00117,-0.0045,0.00145,0.00564
2007-11-23,0.01686,0.00359,0.00071,-0.00045,0.00471,0.00167
2007-11-26,-0.02351,0.00309,0.00529,0.00071,0.02177,0.01098
2007-11-27,0.01487,-0.01478,-0.00071,0.00022,-0.01165,-0.00799
2007-11-28,0.02847,-0.01547,-0.00219,0.00483,-0.00674,-0.00738
2007-11-29,0.00055,0.00373,-0.00026,0.00193,0.00784,0.0062
2007-11-30,0.00774,-0.00948,0.00071,0.00432,-0.00637,-0.00233
2007-12-04,-0.01243,0.00865,0.00386,0.00136,0.00804,0.00109
2007-12-05,0.0156,-0.00532,-0.00161,0.00151,-0.00616,-0.00644
2007-12-06,0.01502,0.01407,-0.00407,0.00011,-0.01239,-0.00389
2007-12-07,-0.00177,-0.00186,-0.00831,0.00011,-0.01518,-0.00719
2007-12-10,0.00752,0.00109,-0.00144,-7e-05,-0.00321,-0.00131
2007-12-11,-0.02558,0.00975,0.00514,0.00125,0.01817,0.00855
2007-12-12,0.00616,0.02823,0.00026,0.00051,-0.00665,-0.0012
2007-12-13,0.00126,-0.01457,-0.00358,-0.00209,-0.01163,-0.00511
2007-12-14,-0.01379,-0.00733,-0.00418,-0.00143,-0.0068,-0.00232
2007-12-17,-0.01511,-0.00416,0.00052,-0.00188,0.00569,0.00281
2007-12-18,0.00626,-0.00687,0.00268,0.00184,0.01108,0.00598
2007-12-19,-0.00133,0.01009,0.00443,0.00136,0.00691,0.00274
2007-12-20,0.00514,-0.00349,0.00246,0.00085,0.0067,0.00292
2007-12-21,0.01669,0.0133,-0.00279,0.00044,-0.01722,-0.00753
2007-12-24,0.00805,0.00057,-0.0041,0.00026,-0.0059,-0.00299
2007-12-26,0.00083,0.01699,-0.00222,-7e-05,-0.00857,-0.00445
2007-12-27,-0.01408,0.00531,0.00346,0.00022,0.00934,0.00556
2007-12-28,0.00146,-0.00613,0.00299,0.00117,0.01417,0.00525
2007-12-31,-0.00686,0.00172,0.0046,0.00106,0.00815,0.00598
2008-01-02,-0.01433,0.0271,0.0058,0.00212,0.01592,0.01138
2008-01-03,0.0,0.00634,0.00276,0.00015,-0.00271,0.00038
2008-01-04,-0.02486,-0.00639,0.00231,0.00033,0.00195,0.00193
2008-01-07,0.00323,-0.01806,0.00102,0.00131,0.00377,0.0
2008-01-08,-0.01818,0.01331,-0.00038,0.00186,-0.00243,-0.00024
2008-01-09,0.01361,-0.00962,0.0,-0.00138,0.00516,0.00254
2008-01-10,0.00794,-0.01257,-0.00371,-0.00058,-0.01713,-0.00622
2008-01-11,-0.01363,0.00552,0.00205,0.00084,0.00742,0.00678
2008-01-14,0.01082,0.02051,0.00192,0.00077,0.00337,0.00361
2008-01-15,-0.02524,-0.01086,0.00294,0.00091,0.01154,0.00518
2008-01-16,-0.00552,-0.01223,6e-05,0.00145,-0.00415,-0.00377
2008-01-17,-0.02948,-0.00355,0.0021,-0.00127,0.00963,0.00457
2008-01-18,-0.00604,0.00294,0.00095,-0.00226,-0.00621,-5e-05
2008-01-22,-0.01115,-0.00552,0.00323,-0.00175,0.01129,0.00948
2008-01-23,0.02124,-0.02428,0.00303,0.00164,0.00715,0.00414
2008-01-24,0.01004,0.02218,-0.00595,0.00149,-0.02597,-0.01199
2008-01-25,-0.016,0.01768,-0.00013,-0.00029,0.01026,0.00481
2008-01-28,0.01742,0.0086,0.0014,0.00076,0.00103,0.00185
2008-01-29,0.00619,0.00419,-0.00095,4e-05,-0.00756,-0.00055
2008-01-30,-0.00471,-0.00034,-0.00324,0.00047,-0.01308,-0.00309
2008-01-31,0.0168,0.00381,0.00121,0.00062,0.01091,0.00811
2008-02-01,0.01216,-0.01715,0.00311,0.00113,0.00595,-0.00106
2008-02-04,-0.0105,0.01465,-6e-05,0.00018,-0.00764,-0.00451
2008-02-05,-0.03242,-0.00768,0.00228,-0.00145,0.00482,0.00281
2008-02-06,-0.00725,-0.00233,-0.00038,-0.00036,-0.00403,-0.0012
2008-02-07,0.0081,0.00706,-0.00406,-0.00379,-0.01753,-0.00879
2008-02-08,-0.0042,0.02711,-0.00032,-0.00659,0.00915,0.00736
2008-02-11,0.00592,0.0082,0.00146,0.00055,0.00543,0.00405
2008-02-12,0.00728,-0.01521,-0.0014,0.00231,-0.00824,-0.00419
2008-02-13,0.01389,0.00099,-0.00134,0.00139,-0.00584,-0.00472
2008-02-14,-0.01348,0.02225,-0.00421,-0.00198,-0.01876,-0.00866
2008-02-15,0.0009,0.00025,-0.00096,-0.00172,0.00752,0.00364
2008-02-19,-0.00081,0.03174,-0.00404,-0.00062,-0.00789,-0.0043
2008-02-20,0.00836,0.00058,-0.00264,-0.00169,0.00122,0.00094
2008-02-21,-0.0126,9e-05,0.00296,0.00246,0.01297,0.00638
2008-02-22,0.00795,0.00402,0.00192,0.00143,-0.00397,0.00028
2008-02-25,0.01374,0.0112,-0.0034,0.00011,-0.01129,-0.00475
2008-02-26,0.0069,0.024,-0.00077,0.00271,0.00108,0.00544
2008-02-27,-0.00068,-0.00141,0.00071,-7e-05,0.00102,0.00023
2008-02-28,-0.00887,0.00901,0.00295,0.0023,0.014,0.01259
2008-02-29,-0.02743,-0.01208,0.0076,0.00117,0.02035,0.01066
2008-03-03,0.00055,0.01106,0.00203,-0.00168,-0.00087,0.00186
2008-03-04,-0.00345,-0.01959,-0.00076,0.00062,-0.00859,-0.00091
2008-03-05,0.00572,0.03723,-0.00376,0.00106,-0.01667,-0.00231
2008-03-06,-0.0221,0.00784,-0.00153,-0.00197,0.00459,0.00295
2008-03-07,-0.00843,-0.00819,0.00026,-0.003,0.00479,0.00749
2008-03-10,-0.01554,0.0168,0.00089,0.00011,0.0142,0.006
2008-03-11,0.03649,0.0112,-0.01046,0.00073,-0.01245,-0.01087
2008-03-12,-0.00875,0.01459,-0.002,0.00234,0.01821,0.00867
2008-03-13,0.00515,0.00313,-0.00337,-0.00267,-0.0059,-0.00449
2008-03-14,-0.02098,-0.01057,0.00026,-0.00092,0.0154,0.00139
2008-03-17,-0.00885,-0.03468,0.00097,-0.00301,0.00883,-0.00884
2008-03-19,0.01699,-0.02346,0.00323,0.00824,0.00865,0.00018
2008-03-20,0.02366,-0.02322,0.00013,0.00062,0.00768,0.00398
2008-03-24,0.01521,0.00599,-0.00136,4e-05,-0.02064,-0.01674
2008-03-25,0.00231,0.01204,0.0,0.00055,0.00182,-0.00124
2008-03-26,-0.00875,0.02183,0.00045,-0.00109,-0.00448,0.00046
2008-03-27,-0.01132,0.01129,-0.00136,-0.00069,-0.00661,0.00321
2008-03-28,-0.00794,-0.01265,0.00155,-0.00051,0.00414,0.00475
2008-03-31,0.0057,-0.02789,0.0029,-0.00088,0.00439,0.00386
2008-04-01,0.03526,-0.00855,-0.00432,-0.00033,-0.01028,-0.00701
