N_STATES,TERM,P_VALUE,PREDICTOR_VALUE,LOG_ODDS_CONTRAST,FITTED_LOG_ODDS,MODEL,PENALTY_GROUP,GROUP_PENALTY_WEIGHT,OBSERVATION_COUNT,NUMERATOR_COUNT,DENOMINATOR_COUNT,OBSERVED_LOG_ODDS,OBSERVED_LOG_ODDS_SE
4,SPXT_LAG_0,0.02,-0.014053164556962025,1 vs 0,-3.8871410819937817,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.011536075949367092,1 vs 0,-3.883665397565373,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.009018987341772158,1 vs 0,-3.879636194399401,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.006501898734177211,1 vs 0,-3.8750620874967736,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.003984810126582278,1 vs 0,-3.8699516918583985,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,-0.0014677215189873444,1 vs 0,-3.864313622485184,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.0010493670886076029,1 vs 0,-3.8581564943780364,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.0035664556962025362,1 vs 0,-3.851488922537864,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.00608354430379747,1 vs 0,-3.8443195219655752,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.008600632911392403,1 vs 0,-3.836656907662078,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.011117721518987336,1 vs 0,-3.8285096946282784,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.013634810126582284,1 vs 0,-3.819886497865086,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.016151898734177217,1 vs 0,-3.8107959323734084,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.01866898734177215,1 vs 0,-3.8012466131541514,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.021186075949367097,1 vs 0,-3.7912471552082243,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.02370316455696203,1 vs 0,-3.780806173536535,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.026220253164556964,1 vs 0,-3.769932893875274,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.028737341772151898,1 vs 0,-3.758645680370055,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
4,SPXT_LAG_0,0.02,0.03125443037974683,1 vs 0,-3.7469699319321617,group_weighted_multinomial_logistic_gam,market,0.5,,,,,
